timestamp,symbol,event_type,side,qty,price,position,position_id,order_id,status,notes
2026-04-16T13:31:59.726Z,EURUSD,position_opened,BUY,0.32,1.17803,1,7841029,2456111,ok,Bias scale-in long entry
2026-04-16T16:31:20.000Z,EURUSD,position_closed,BUY,0.32,1.17778,0,7841021,2456104,sl_hit,mt5-history:stop_loss
2026-04-16T16:31:45.000Z,EURUSD,position_closed,BUY,0.32,1.17777,0,7841023,2456107,sl_hit,mt5-history:stop_loss
2026-04-16T16:31:51.000Z,EURUSD,position_closed,BUY,0.32,1.17779,0,7841026,2456109,sl_hit,mt5-history:stop_loss
2026-04-16T13:32:22.986Z,EURUSD,order_placed,BUY,0.32,1.17917,0.68,,,submitted,Submitting long entry order
2026-04-16T13:32:23.723Z,EURUSD,position_opened,BUY,0.32,1.17798,1,7841033,2456115,ok,Bias scale-in long entry
2026-04-16T13:32:31.487Z,EURUSD,order_placed,BUY,0.32,1.17917,0.68,,,submitted,Submitting long entry order
2026-04-16T13:32:32.223Z,EURUSD,position_opened,BUY,0.32,1.17799,0.68,7841035,2456117,ok,Bias scale-in long entry
2026-04-16T13:32:39.951Z,EURUSD,order_placed,BUY,0.32,1.17917,0.68,,,submitted,Submitting long entry order
2026-04-16T13:32:40.729Z,EURUSD,position_opened,BUY,0.32,1.17798,0.68,7841037,2456119,ok,Bias scale-in long entry
2026-04-16T13:32:48.488Z,EURUSD,order_placed,BUY,0.32,1.17917,0.68,,,submitted,Submitting long entry order
2026-04-16T13:32:49.216Z,EURUSD,position_opened,BUY,0.32,1.17793,1,7841040,2456122,ok,Bias scale-in long entry
2026-04-16T16:32:20.000Z,EURUSD,position_closed,BUY,0.32,1.17787,0,7841029,2456114,sl_hit,mt5-history:stop_loss
2026-04-16T16:32:25.000Z,EURUSD,position_closed,BUY,0.32,1.17782,0,7841033,2456116,sl_hit,mt5-history:stop_loss
2026-04-16T16:32:31.000Z,EURUSD,position_closed,BUY,0.32,1.17784,0,7841035,2456118,sl_hit,mt5-history:stop_loss
2026-04-16T16:32:40.000Z,EURUSD,position_closed,BUY,0.32,1.17783,0,7841037,2456120,sl_hit,mt5-history:stop_loss
2026-04-16T16:37:22.000Z,EURUSD,position_closed,BUY,0.32,1.17777,0,7841040,2456190,sl_hit,mt5-history:stop_loss
2026-04-16T14:15:07.495Z,EURUSD,order_placed,BUY,0.32,1.17934,0.68,,,submitted,Submitting long entry order
2026-04-16T14:15:08.290Z,EURUSD,position_opened,BUY,0.32,1.17788,1,7842420,2457538,ok,Bias scale-in long entry
2026-04-16T17:15:13.000Z,EURUSD,position_closed,BUY,0.32,1.17771,0,7842420,2457543,sl_hit,mt5-history:stop_loss
2026-04-16T14:20:17.736Z,EURUSD,order_placed,BUY,0.32,1.17934,0.68,,,submitted,Submitting long entry order
2026-04-16T14:20:18.476Z,EURUSD,position_opened,BUY,0.32,1.17758,1,7842582,2457699,ok,Bias scale-in long entry
2026-04-16T14:20:49.508Z,EURUSD,order_placed,BUY,0.32,1.17934,0.68,,,submitted,Submitting long entry order
2026-04-16T14:20:50.238Z,EURUSD,position_opened,BUY,0.32,1.17757,1,7842608,2457725,ok,Bias scale-in long entry
2026-04-16T17:20:43.000Z,EURUSD,position_closed,BUY,0.32,1.17743,0,7842582,2457723,sl_hit,mt5-history:stop_loss
2026-04-16T17:22:32.000Z,EURUSD,position_closed,BUY,0.32,1.17742,0,7842608,2457754,sl_hit,mt5-history:stop_loss
2026-04-16T14:26:23.681Z,EURUSD,order_placed,BUY,0.32,1.17934,0.68,,,submitted,Submitting long entry order
2026-04-16T14:26:24.234Z,EURUSD,position_opened,BUY,0.32,1.17774,1,7842760,2457874,ok,Bias scale-in long entry
2026-04-16T14:27:03.725Z,EURUSD,order_placed,BUY,0.32,1.17934,0.68,,,submitted,Submitting long entry order
2026-04-16T14:27:04.508Z,EURUSD,position_opened,BUY,0.32,1.17773,1,7842769,2457882,ok,Bias scale-in long entry
2026-04-16T17:27:03.000Z,EURUSD,position_closed,BUY,0.32,1.17758,0,7842760,2457881,sl_hit,mt5-history:stop_loss
2026-04-16T14:27:59.000Z,EURUSD,order_placed,BUY,0.32,1.17934,0.68,,,submitted,Submitting long entry order
2026-04-16T14:27:59.763Z,EURUSD,position_opened,BUY,0.32,1.17772,1,7842796,2457909,ok,Bias scale-in long entry
2026-04-16T17:27:56.000Z,EURUSD,position_closed,BUY,0.32,1.17757,0,7842769,2457900,sl_hit,mt5-history:stop_loss
2026-04-16T14:40:18.101Z,EURUSD,order_placed,BUY,0.32,1.17943,0.68,,,submitted,Submitting long entry order
2026-04-16T14:40:18.891Z,EURUSD,position_opened,BUY,0.32,1.17768,1,7843259,2458365,ok,Bias scale-in long entry
2026-04-16T14:40:34.355Z,EURUSD,order_placed,BUY,0.32,1.17943,0.68,,,submitted,Submitting long entry order
2026-04-16T14:40:35.150Z,EURUSD,position_opened,BUY,0.32,1.17768,1,7843314,2458420,ok,Bias scale-in long entry
2026-04-16T14:40:43.348Z,EURUSD,order_placed,BUY,0.32,1.17943,0.68,,,submitted,Submitting long entry order
2026-04-16T14:40:44.092Z,EURUSD,position_opened,BUY,0.32,1.17764,1,7843340,2458446,ok,Bias scale-in long entry
2026-04-16T14:40:51.851Z,EURUSD,order_placed,BUY,0.32,1.17943,0.68,,,submitted,Submitting long entry order
2026-04-16T14:40:52.597Z,EURUSD,position_opened,BUY,0.32,1.17757,1,7843386,2458495,ok,Bias scale-in long entry
2026-04-16T17:40:17.000Z,EURUSD,position_closed,BUY,0.32,1.17755,0,7842796,2458364,sl_hit,mt5-history:stop_loss
2026-04-16T17:40:28.000Z,EURUSD,position_closed,BUY,0.32,1.17751,0,7843259,2458395,sl_hit,mt5-history:stop_loss
2026-04-16T17:40:38.000Z,EURUSD,position_closed,BUY,0.32,1.17752,0,7843314,2458431,sl_hit,mt5-history:stop_loss
2026-04-16T17:40:48.000Z,EURUSD,position_closed,BUY,0.32,1.17749,0,7843340,2458457,sl_hit,mt5-history:stop_loss
2026-04-16T14:51:38.868Z,EURUSD,order_placed,BUY,0.32,1.17923,0.68,,,submitted,Submitting long entry order
2026-04-16T14:51:39.598Z,EURUSD,position_opened,BUY,0.32,1.17755,1,7843675,2458781,ok,Bias scale-in long entry
2026-04-16T14:51:47.384Z,EURUSD,order_placed,BUY,0.32,1.17923,0.68,,,submitted,Submitting long entry order
2026-04-16T14:51:48.113Z,EURUSD,position_opened,BUY,0.32,1.17753,1,7843677,2458783,ok,Bias scale-in long entry
2026-04-16T17:51:31.000Z,EURUSD,position_closed,BUY,0.32,1.17742,0,7843386,2458779,sl_hit,mt5-history:stop_loss
2026-04-16T17:51:45.000Z,EURUSD,position_closed,BUY,0.32,1.17739,0,7843675,2458782,sl_hit,mt5-history:stop_loss
