timestamp,symbol,cash,position,equity
2026-04-14T20:43:05.843Z,EURUSD,9999.9882048,0.01,10000
2026-04-15T14:17:11.671Z,EURUSD,9988.2,10,10000
2026-04-15T14:17:12.907Z,EURUSD,10000,0,10000
2026-04-15T14:17:39.128Z,EURUSD,70923.49,10,99896.82
2026-04-15T14:17:41.163Z,EURUSD,99808.39,10,99808.39
2026-04-15T14:21:37.178Z,EURUSD,96925.1,1,99822.43
2026-04-15T14:21:38.649Z,EURUSD,99822.42,0,99822.42
2026-04-15T14:36:28.631Z,EURUSD,96924.78,-1,99821.65
2026-04-15T14:37:51.546Z,EURUSD,96905.66,-1,99802.53
2026-04-15T14:39:01.171Z,EURUSD,96918.17,-1,99815.04
2026-04-15T14:46:33.503Z,EURUSD,96913.03,-1,99809.9
2026-04-15T14:48:11.299Z,EURUSD,96910.83,-1,99807.7
2026-04-15T15:08:57.469Z,EURUSD,96869.59,-1,99766.46
2026-04-15T15:08:58.204Z,XAUUSD,96870.32,0,99767.19
2026-04-15T15:09:03.984Z,EURUSD,96868.12,-1,99764.99
2026-04-15T15:09:04.994Z,XAUUSD,96867.38,0,99764.25
2026-04-15T15:09:10.721Z,EURUSD,96872.53,-1,99769.4
2026-04-15T15:09:11.467Z,XAUUSD,96876.21,0,99773.08
2026-04-15T15:09:17.219Z,EURUSD,96873.28,-1,99770.15
2026-04-15T15:09:17.968Z,XAUUSD,96873.28,0,99770.15
2026-04-15T15:09:23.753Z,EURUSD,96869.59,-1,99766.46
2026-04-15T15:09:24.975Z,XAUUSD,96869.59,0,99766.46
2026-04-15T15:09:30.692Z,EURUSD,96876.22,-1,99773.09
2026-04-15T15:09:31.482Z,XAUUSD,96875.48,0,99772.35
2026-04-15T15:09:37.226Z,EURUSD,96874.75,-1,99771.62
2026-04-15T15:09:37.955Z,XAUUSD,96875.48,0,99772.35
2026-04-15T15:09:43.693Z,EURUSD,96874.74,-1,99771.61
2026-04-15T15:09:44.477Z,XAUUSD,96874.74,0,99771.61
2026-04-15T15:09:56.981Z,EURUSD,96881.37,-1,99778.24
2026-04-15T15:09:57.729Z,XAUUSD,96881.37,0,99778.24
2026-04-15T15:10:03.449Z,EURUSD,96879.88,-1,99776.75
2026-04-15T15:10:04.192Z,XAUUSD,96880.62,0,99777.49
2026-04-15T15:10:10.221Z,EURUSD,96887.25,-1,99784.12
2026-04-15T15:10:10.938Z,XAUUSD,96882.1,0,99778.97
2026-04-15T15:10:16.736Z,EURUSD,96882.83,-1,99779.7
2026-04-15T15:10:17.484Z,XAUUSD,96883.57,0,99780.44
2026-04-15T15:10:23.452Z,EURUSD,96881.36,-1,99778.23
2026-04-15T15:10:24.214Z,XAUUSD,96880.62,0,99777.49
2026-04-15T15:10:29.998Z,EURUSD,96876.95,-1,99773.82
2026-04-15T15:10:30.694Z,XAUUSD,96874.74,0,99771.61
2026-04-15T15:10:36.468Z,EURUSD,96876.95,-1,99773.82
2026-04-15T15:10:37.215Z,XAUUSD,96880.63,0,99777.5
2026-04-15T15:10:42.947Z,EURUSD,96882.11,-1,99778.98
2026-04-15T15:10:43.690Z,XAUUSD,96882.11,0,99778.98
2026-04-15T15:10:49.472Z,EURUSD,96879.89,-1,99776.76
2026-04-15T15:10:50.216Z,XAUUSD,96879.16,0,99776.03
2026-04-15T15:10:55.955Z,EURUSD,96876.95,-1,99773.82
2026-04-15T15:10:56.689Z,XAUUSD,96880.63,0,99777.5
2026-04-15T15:11:02.455Z,EURUSD,96876.95,-1,99773.82
2026-04-15T15:11:03.205Z,XAUUSD,96879.9,0,99776.77
2026-04-15T15:11:08.973Z,EURUSD,96881.36,-1,99778.23
2026-04-15T15:11:09.716Z,XAUUSD,96881.36,0,99778.23
2026-04-15T15:11:15.490Z,EURUSD,96880.63,-1,99777.5
2026-04-15T15:11:16.226Z,XAUUSD,96880.63,0,99777.5
2026-04-15T15:11:22.198Z,EURUSD,96884.31,-1,99781.18
2026-04-15T15:11:22.986Z,XAUUSD,96883.57,0,99780.44
2026-04-15T15:11:28.720Z,EURUSD,96884.31,-1,99781.18
2026-04-15T15:11:29.457Z,XAUUSD,96884.31,0,99781.18
2026-04-15T15:11:35.231Z,EURUSD,96887.25,-1,99784.12
2026-04-15T15:11:35.974Z,XAUUSD,96883.57,0,99780.44
2026-04-15T15:11:41.698Z,EURUSD,96883.57,-1,99780.44
2026-04-15T15:11:42.695Z,XAUUSD,96883.57,0,99780.44
2026-04-15T15:11:48.436Z,EURUSD,96883.57,-1,99780.44
2026-04-15T15:11:49.227Z,XAUUSD,96883.57,0,99780.44
2026-04-15T15:11:54.946Z,EURUSD,96886.52,-1,99783.39
2026-04-15T15:11:55.926Z,XAUUSD,96886.52,0,99783.39
2026-04-15T15:12:01.691Z,EURUSD,96881.36,-1,99778.23
2026-04-15T15:12:02.428Z,XAUUSD,96876.94,0,99773.81
2026-04-15T15:12:08.202Z,EURUSD,96883.57,-1,99780.44
2026-04-15T15:12:08.946Z,XAUUSD,96882.84,0,99779.71
2026-04-15T15:12:14.711Z,EURUSD,96874.75,-1,99771.62
2026-04-15T15:12:15.716Z,XAUUSD,96871.81,0,99768.68
2026-04-15T15:12:21.454Z,EURUSD,96862.25,-1,99759.12
2026-04-15T15:12:22.193Z,XAUUSD,96859.31,0,99756.18
2026-04-15T15:12:27.963Z,EURUSD,96865.93,-1,99762.8
2026-04-15T15:12:28.937Z,XAUUSD,96862.25,0,99759.12
2026-04-15T15:12:34.705Z,EURUSD,96864.45,-1,99761.32
2026-04-15T15:12:35.446Z,XAUUSD,96864.45,0,99761.32
2026-04-15T15:12:41.198Z,EURUSD,96865.2,-1,99762.07
2026-04-15T15:12:41.934Z,XAUUSD,96860.04,0,99756.91
2026-04-15T15:12:47.716Z,EURUSD,96860.03,-1,99756.9
2026-04-15T15:12:48.456Z,XAUUSD,96860.78,0,99757.65
2026-04-15T15:12:54.187Z,EURUSD,96855.63,-1,99752.5
2026-04-15T15:12:54.953Z,XAUUSD,96857.83,0,99754.7
2026-04-15T15:13:00.693Z,EURUSD,96857.84,-1,99754.71
2026-04-15T15:13:01.480Z,XAUUSD,96861.52,0,99758.39
2026-04-15T15:13:07.212Z,EURUSD,96861.53,-1,99758.4
2026-04-15T15:13:07.950Z,XAUUSD,96861.53,0,99758.4
2026-04-15T15:13:13.717Z,EURUSD,96860.05,-1,99756.92
2026-04-15T15:13:14.454Z,XAUUSD,96860.05,0,99756.92
2026-04-15T15:13:20.227Z,EURUSD,96854.17,-1,99751.04
2026-04-15T15:13:20.965Z,XAUUSD,96857.85,0,99754.72
2026-04-15T15:13:26.688Z,EURUSD,96854.9,-1,99751.77
2026-04-15T15:13:27.476Z,XAUUSD,96856.37,0,99753.24
2026-04-15T15:13:33.208Z,EURUSD,96854.9,-1,99751.77
2026-04-15T15:13:33.954Z,XAUUSD,96858.58,0,99755.45
2026-04-15T15:13:39.680Z,EURUSD,96854.9,-1,99751.77
2026-04-15T15:13:40.464Z,XAUUSD,96860.79,0,99757.66
2026-04-15T15:13:46.205Z,EURUSD,96863,-1,99759.87
2026-04-15T15:13:46.945Z,XAUUSD,96860.05,0,99756.92
2026-04-15T15:13:52.724Z,EURUSD,96863.73,-1,99760.6
2026-04-15T15:13:53.466Z,XAUUSD,96859.31,0,99756.18
2026-04-15T15:13:59.195Z,EURUSD,96862.26,-1,99759.13
2026-04-15T15:13:59.930Z,XAUUSD,96863.73,0,99760.6
2026-04-15T15:14:05.705Z,EURUSD,96862.26,-1,99759.13
2026-04-15T15:14:06.437Z,XAUUSD,96864.46,0,99761.33
2026-04-15T15:14:12.211Z,EURUSD,96865.93,-1,99762.8
2026-04-15T15:14:12.943Z,XAUUSD,96861.51,0,99758.38
2026-04-15T15:14:18.723Z,EURUSD,96864.46,-1,99761.33
2026-04-15T15:14:19.461Z,XAUUSD,96864.46,0,99761.33
2026-04-15T15:14:25.181Z,EURUSD,96864.46,-1,99761.33
2026-04-15T15:14:31.211Z,EURUSD,96864.46,-1,99761.33
2026-04-15T15:14:31.945Z,XAUUSD,96861.52,0,99758.39
2026-04-15T15:14:37.721Z,EURUSD,96856.36,-1,99753.23
2026-04-15T15:14:38.457Z,XAUUSD,96857.1,0,99753.97
2026-04-15T15:14:44.180Z,EURUSD,96855.63,-1,99752.5
2026-04-15T15:14:44.959Z,XAUUSD,96855.63,0,99752.5
2026-04-15T15:14:50.690Z,EURUSD,96860.79,-1,99757.66
2026-04-15T15:14:51.437Z,XAUUSD,96861.52,0,99758.39
